CODE_ARTICLE;ARTICLES;PRIX
2703;VEET CREAM SENSITIVE 100 ML;15.5
2789;PAPIER SERV TABLE LILAS 40*40 PREMIUM;3.8
4536;PAPIER SERVIETTE LOTUS 30*30;2.4
4535;PAPIER SERVIETTE LOTUS 23*23;1.7
4537;PAPIER SERVIETTE LOTUS 23*23;1.7
3566;PAPIER SERVIETTE 30*30 LILAS PREMIUM;2.4
2949;PAPIER SERVIETTE 23*23 LILAS PREMIUM SIMPLE;1.8
3595;PAPIER HYG ROSY DE 4;2.5
3924;PAPIER HYGIENIQUE LOTUS CONFORT 2;2
3409;PAPIER HYGIENIQUE JAUNE FLEURI LILAS x12;9.8
3750;PAMP VALUE PACK S2 4*40;34
2496;NANA MAXI CLIP SL SUP 9;3.5
3921;NANA MAXI CLIP SL NORMAL10;3.5
2497;NANA EXTRA NUIT 8;3.7
3749;MOUCHOIR NET ENFANT NORMAL;0.4
4436;LOT 3 LINGETTES BEBE DE 72 CALINS CALINE;8.9
2488;LINGETTES KIDS 12P;1.5
4200;LINGETTE PREMIUM BEBE 72 AVEC COUVERCLE +LOTION;6.3
4086;LINGETTE BEBIKO PREMIUM DE 72 AVEC LID;5.3
2486;LINGETTE 72 AVEC LID LILAS;6.5
4785;LILAS ULTRA DOUX CLASSIC;2.9
4054;Lilas ULTRA DOUX;2.5
2727;LILAS NET 1PCS;0.4
3438;LILAS CLIP POCKET MICRO AEREE NUIT PLUS 8 PARFUME;3.8
4252;LILAS CLIP NUIT PLUS PARFUME 8;3.5
4087;Kotis n 4;17.3
4461;Folia 3x;3.4
4533;E.T LOTUS L ORIGINAL 2P EXTRA LONG BL;4.5
3596;ESSUIE-TOUT ROSY 2 rlx;2.8
4532;ESSUIE TOUT LOTUS L ORIGINAL 2P BLANC*2;4.1
2435;ESSUIE-TOUT LILAS ULTRA DOUX 2+1;2.8
3737;ESSUIE TOUT 1RLX XL;6.8
3211;DISTRIBUTEUR FLEURIE 100;2
3807;DISTRIBUTEUR FLEURIE 100;2
3808;DIST LOTUS CUBIC KIDS 80;2.5
4879;DIST LOTUS CONFORT 150 ARABESQUE;2.8
2487;DIST LINGETTES ANTIBACTERIENNE 15 PC;2
4786;DIST LILAS FRESQUE 250;4.5
2824;COUCHE MOLFIX 7-18KG-N4;18.5
3599;COUCHE KOTIS 16+ KG -N 6;17.3
3600;COUCHE KOTIS 11-25KG -N5;18.5
4784;CLIP POCKET SUPER PARFUME 9;3.5
2495;CLIP POCKET M.AERE SUPER 9;3.5
2790;CLIP POCKET M.AERE 8 NUIT;3.5
2697;BOITE FACIAL KOTIS 100P ROUGE;2
2315;BEBE LPD CONFORT IH T6 +16KG;18.5
2319;BEBE LPD CONFORT IH T5 15-25KG;18.5
2317;BEBE LPD CONFORT IH T3 5-10KG;18.5
2320;BEBE LPD CONFORT IH T2 3-6;18.5
2309;BEBE LILAS CONFORT 9-18KG-N4;18.5
4411;BEBE LILAS CONFORT 5-10KG-N3;18.5
3848;BEBE LILAS CONFORT 5-10KG-N3;18.5
4410;BEBE LILAS CONFORT 18-9KG-N4;18.5
2310;BEBE LILAS CONFORT 15-25KG-N5;18.5
3740;ALWAYS DAILY LINERS NORMAL 20P;5.8
4318;ALWAYS 3IN1 ULTRA THIN LONG 16PCS;8.5
4845;20 PROTEGE-SLIPS PARFUME NANA;4.3
