CODE_ARTICLE;DESIGNATION;PV_TTC
4341;NESPRESSO VOLLUTO;25
4034;NESPRESSO ARPGGIO;23,5
1114;NESCAFE CLASSIC 45G;9,5
2008;NASCAFE CLASSIC 1.8G;0,5
4340;LOR RISTRETTO X10;19,5
4707;LOR RISTRETOO 11 X30;55
4393;LOR MARANELLO 8;22,5
4394;LOR MARANELLO 12;22,5
4392;LOR MARANELLO 10;22,5
4626;LOR DARK ROAST;16,5
4625;LOR BLONDE ROAST;16,5
4893;GOLDEN COFFEE SEPECULOOS 225G;15,5
4125;GOLDEN COFFEE SEPECULOOS;1,5
4414;GOLDEN COFFEE SELECTION;8,5
4413;GOLDEN COFFEE SACHET 2GR;0,5
4894;GOLDEN COFFEE NOISETTE 225G;15,5
4128;GOLDEN COFFEE NOISETTE;1,5
4127;GOLDEN COFFEE CLASSIQUE;1,5
4892;GOLDEN COFFEE CARAMEL CLASSIQUE 225G;15,5
4891;GOLDEN COFFEE CARAMEL 225G;15,5
3082;FILTRE A CAFE MELITTA;5,9
4417;DOLCE CAFE CLASSIC 45G;5,9
4418;DOLCE CAFE CHICOREE 50G;5,6
2005;CHOCO POUDRE SAID 200G;4,3
2006;CHOCO POUDRE SAID 100G;2,9
2007;CHICOREE BRAVA DOSETTES;0,4
4528;CHICORE BRAVA 250GR+50G GRATUIT;28,5
3036;CHICORE BRAVA 100 GR;11,9
2573;CAPSULE NESPRSSO L'OR RISTRETTO 11;19,5
2571;CAPSULE L'OR SUPREMO 10;19,5
3467;CAPSULE L'OR SPLENDENTE 7;19,5
3466;CAPSULE L'OR ONYX 12;19,5
3397;Cappucino cafe vanilla;1,3
3398;Cappuccino cafe hazelnut;1,3
4824;CAFFE CREMA CLASSICA;16
3079;CAFE SOLUBLE GOLD;28,5
4860;CAFE ROYAL;19,5
3773;CAFE MOULU QUALITA ORO 250G;23,9
3774;CAFE MOULU AROMA FORTE 250G;21,5
3772;CAFE MOULU ARABICA 250G 100%;27
4545;CAFE MAXWELL HOUSE 95GR;28,8
4546;CAFE MAXWELL HOUSE 47.5GR;13,8
2568;CAFE MAXWELL HOUSE 190GR;39,5
3783;CAFE GRAND MERE 200G;14,5
3489;Cafee blanche 125g bontown;2,5
3399;CAFE CLASSICO CAPPUCCINO LAFESTA 12.5G;1,3
3617;CafE BONDIN AROMA 125 GR;5
4859;BELLAROM CAFE NOIR;19,5
4420;10 CAPSULES INTENSE-GOLDEN COFFEE;17,9
4419;10 CAPSULES GOLDEN COFFEE EXTREME;14,5
2597;CAFE PURE TURC 125GR 1KG;2,5
4051;CAFE BONDIN 45G;8,3
