CODE_ARTICLE;DESIGNATION;PV_TTC
4375;ZY RIZ ETUVE 1KG;4,8
3987;ZINGIBER MOULU 100G;6,3
3235;WC NET GEL CRYSTAL PINK FLOWERS 750ML;9,3
3333;VINAIGRE COLORE 88CL;2,5
3484;TOMATO ZINA 1KG;4,6
3257;TOMATE PELEE CUBEE 1/2 SICAM;3,3
3550;TOMATE LE PETIT PARIS 4/4;4,6
3483;THON ENTIER EL MANAR A HUILE D'OLIVE 160G;8,4
3261;SPAGHETTI 2 RANDA 500G;0,48
3482;SAUCE TOMATE+AIL 1/2 SICAM;2,8
2611;PIMENT DOUX 100GR;3,3
2684;PETITS POIS ET CAROTTE SAVEURS 1/2;9,5
3748;PATE LONGUE N2 500GR WARDA;0,48
3067;PAIN DE MIE COMPLET HAPPYS PACK 15T;2,9
3070;PAIN DE MIE COMPLET HAPPYS PACK 15T;2,9
3068;PAIN DE MIE CEREALES HAPPYS PACK 15T;3,2
3699;MIEL THYM/ZAATAR;20
1335;LOUZ HLOU 1KG AL BARAKA;6,5
2642;LEVURE SECHE INST 10GR VANOISE;0,5
4374;HUILE SAFI VEGETAL 1.8 L CHEF;11,5
4770;HUILE D OLIVE VIERGE PET 1L AL JAZIRA;19,8
2720;HUILE D'OLIVE MAISON 250 ML;4,1
4773;HUILE D OLIVE EV 250ML MARASCA;8,3
4769;HUILE D'OLIVE 750 ML JAZIRA;19,5
3676;HUILE DE MAIS 1.8L SAFI;12,4
3488;HRISSA TUBE EL MANAR;1,8
3481;HARISSA SOCODAL 1/6;1,5
3259;HARISSA 1/6 MANARA DU CAP BON;1,5
3265;HAPPYS PIZZA 700G;3,8
3266;HAPPYS PIZZA 550G;3,3
4219;FARINE SANS GLUTEN;11,4
3548;FARINE EL KHOMSA 1KG;0,85
3486;DOUBLE CONCENTRE T ABIDA 400G;2,8
3639;DIMA 0.5L;0,6
2637;DHAWAKA THYM;1,8
2608;DHAWAKA TABEL 50GR;1,2
2620;DHAWAKA SUCRE GLACE;3,5
2638;DHAWAKA ROMARIN;1,8
2612;DHAWAKA RASS HANOUT 100GR;2,2
2606;DHAWAKA POIVRE NOIR 50GR;3,5
2618;DHAWAKA POIS CHICHE MOULU 500GR;7,5
2614;DHAWAKA POIS CHICHE 500GR;8,2
2610;DHAWAKA PIMENT FORT 100GR;3,3
2635;DHAWAKA MENTHE;1,3
2609;DHAWAKA KARWEYA 50GR;2,2
2615;DHAWAKA HARICOT 500GR;6,3
2616;DHAWAKA FEVETTE;8,2
2632;DHAWAKA EPICES VOLAILLES;3,5
2631;DHAWAKA CURCUMA;2,3
2607;DHAWAKA CUMIN 50GR;3,2
2613;DHAWAKA CORETE MALLOW 100GR;2,3
2619;DHAWAKA CHORBA FRIC 250GR;1,8
2634;DHAWAKA BASILIC;1,8
1178;COCA COLA 0.5L;1,8
3756;CAPSULE BONDIN DECAFEINE 6;14,8
3986;CANNELLE MOULU 100G;7,2
3985;CALETTES DE RIZ SEL DE MER THE LIBANESE FACTORY 110G;7,2
3512;BOISSON A L'EAU DE MENTHE HAZEM 1L;6,5
2629;BEEF STOK 2 CUBES KENT;1,3
2625;ARFAOUI VARIANTES PIMENT ROUGE;2
2627;ARFAOUI VARIANTES COCKTAIL;2,3
2626;ARFAOUI VARIANTES;1,5
1333;AKAJOU 1KG AL BARAKA;6,8
3208;ACIDE CETIQUE ALIMENTAIRE 15ML;2
