CODE_ARTICLE;DESIGNATION;PV_TTC
4275;PRESTINE 1L;0.8
1350;Meliti 0.5 STIKA;6.5
4878;HAYET 0.75L;2
3522;FOURAT 2L STIKA;6
3278;EAUX SABRINE STIKA 1.5L;4.5
3994;EAUX PERRIER20CL;6.8
4036;Eaux mira 2L STIKA;5
3152;EAUX MARWA 1.5L STIKA;4.5
3833;EAUX HAYET 0.3L STIKA;5.9
3383;Eau tijen 0.5 stika;6.5
3384;EAU TIJEN 0.5L;0.6
1348;Eau SAFIA 1.5L STIKA;4.5
3946;EAU MY TUNISIA STIKA;6
3526;EAU MIRA 0.5L STIKA;6.5
2303;EAU MIN SAFIA 1.5L-SOSTEM-;0.9
3279;EAU MIN SAFIA 0.5L-SOSTEM-;0.6
4037;EAU MIN MIRA 2L;1
2302;EAU MELLITI 0.5L -CC12;0.6
1344;Eau Dima 2L STIKA;6
1345;Eau DIMA 1.5L STIKA;4.5
2924;EAU DELICE 1.5L STIKA;4.5
2923;EAU DELICE 0.5L STIKA;6.5
3209;Eau de fleur fabriquee 15ml;2
3874;EAU BARGOU STIKA 1.5L;4.5
4491;EAU BARGOU STIKA 0.5L;6.5
2306;DIMA 1.5L;0.9
4668;DAJLA0,5L;1.3
4337;CRISTALINE STIKA0.5L;6.5
