code,designation,price
4720,VERMICELLE DE 500G-ROSE BLANCHE-,0.48
4382,TAGLIATELLE N2 WARDA 250GR,1.8
3609,SPAGHETTI INTEGRALES WARDA 500G,1.9
2037,SPAGHETTI 3 RANDA 500G,0.48
1244,SPAGHETTI 1 RANDA 500G,0.48
4657,SPAGETTI INTEGRALI 500G DIVELLA,7.3
2025,SEMOULE FINE RANDA 1KG,0.85
4677,SEMOULE FIN DE 1KG,0.85
3607,PENNE INTEGRALE 500GR,2.2
4596,PATE LONGUE N3 500GR WARDA,0.48
3795,PAPILLON 1 RANDA 500G,1.3
4080,NWASSER ARTISANALE,5.5
1276,MHAMMAS FIN RANDA 500G,0.45
4727,MHAMES N2 WARDA,0.48
4303,HLALEM WARDA 500G,3.3
4759,LASAGNE WARDA 500GR,2.4
4426,COUDE 2 WARDA 500G,0.48
3611,COUDE 2 5 CEREALES 500GR WARDA,1.9
4848,COUDE 1 WARDA 500G,0.48
4425,COQUIETTE DE 500GR WARDA,0.48
3463,FARFALLE TRICOLORE PANZANI 55G,8.8
1254,ESCARGOT 2 RANDA 500G,0.48
6190000000000,CANNELLONI RANDA 250G,1.8
3798,COUSCOUS MOYEN DE 1KG(CC15)-CARAVAN-,0.85
2035,COUSCOUS MOYEN DE 1KG,0.8
2598,COUSCOUS FIN DARNA,0.8
3952,COUSCOUS EXPRESS FIN 500GR,1.3
4829,COUSCOUS COMPLET 1KG EPI D OR,2.2
4081,COUSCOUS ARTISANALE,4.5
1280,CHORBA MILLET-500G-RANDA,0.5
2034,CHORBA FRIC 250GR FRIGA,0.5
2023,CHORBA 2 500GR WARDA,0.85
2031,MASFOUF RANDA 1KG,0.8
4301,HARISA SAHLIA380G,3.5

